1D 32 -1536.000000 96768.000000	[nbin xmin xmax]
"X"	"Function_0"
0.000000	2.060224
3072.000000	12.757812
6144.000000	25.136719
9216.000000	37.405469
12288.000000	49.432891
15360.000000	62.091719
18432.000000	72.821719
21504.000000	84.537578
24576.000000	95.574141
27648.000000	106.734219
30720.000000	117.115000
33792.000000	128.083828
36864.000000	137.880859
39936.000000	147.717656
43008.000000	156.873672
46080.000000	165.772812
49152.000000	174.651016
52224.000000	182.927656
55296.000000	190.730000
58368.000000	198.420000
61440.000000	206.101875
64512.000000	213.237891
67584.000000	220.481250
70656.000000	226.560234
73728.000000	233.217031
76800.000000	238.183359
79872.000000	243.729375
82944.000000	249.035234
86016.000000	254.000469
89088.000000	258.985469
92160.000000	263.335078
95232.000000	267.108984
