voltage[V],current[A]
+0.000000E+00,-2.204139E-09
+0.000000E+00,-2.326722E-09
+0.000000E+00,-2.258564E-09
+0.000000E+00,-2.716057E-09
+0.000000E+00,-2.733697E-09
+0.000000E+00,-2.298580E-09
+0.000000E+00,-2.155868E-09
+0.000000E+00,-1.751300E-09
+0.000000E+00,-2.034410E-09
+0.000000E+00,-2.259104E-09
+2.000000E+00,+4.511435E-10
+2.000000E+00,+4.492338E-10
+2.000000E+00,+3.047873E-10
+2.000000E+00,+3.875532E-10
+2.000000E+00,+4.195560E-10
+2.000000E+00,+4.061482E-10
+2.000000E+00,+2.577178E-10
+2.000000E+00,+2.358848E-10
+2.000000E+00,+3.764292E-10
+2.000000E+00,+2.583819E-10
+4.000000E+00,+4.769602E-10
+4.000000E+00,+4.811525E-10
+4.000000E+00,+4.552509E-10
+4.000000E+00,+3.531437E-10
+4.000000E+00,+2.848635E-10
+4.000000E+00,+2.418620E-10
+4.000000E+00,+2.535671E-10
+4.000000E+00,+3.364574E-10
+4.000000E+00,+3.548458E-10
+4.000000E+00,+3.389485E-10
+6.000000E+00,+2.972330E-10
+6.000000E+00,+5.207090E-10
+6.000000E+00,+5.067213E-10
+6.000000E+00,+3.329711E-10
+6.000000E+00,+3.232999E-10
+6.000000E+00,+4.613950E-10
+6.000000E+00,+4.757979E-10
+6.000000E+00,+4.862164E-10
+6.000000E+00,+5.061404E-10
+6.000000E+00,+5.080086E-10
+8.000000E+00,+5.571943E-10
+8.000000E+00,+4.898276E-10
+8.000000E+00,+5.326637E-10
+8.000000E+00,+5.234496E-10
+8.000000E+00,+5.493907E-10
+8.000000E+00,+5.406742E-10
+8.000000E+00,+5.283883E-10
+8.000000E+00,+5.296341E-10
+8.000000E+00,+5.249834E-10
+8.000000E+00,+5.227025E-10
+1.000000E+01,+5.758730E-10
+1.000000E+01,+5.941357E-10
+1.000000E+01,+5.510519E-10
+1.000000E+01,+4.660843E-10
+1.000000E+01,+5.309621E-10
+1.000000E+01,+5.773255E-10
+1.000000E+01,+5.152714E-10
+1.000000E+01,+4.606479E-10
+1.000000E+01,+5.984528E-10
+1.000000E+01,+5.097929E-10
